Туника для кормления;1378504;Состав: вискоза 97%, эластан 3%;285;1378504;туника;1378504(1),1378504(2),1378504(3),1378504(4)
Жилет;1378505;Состав: коттон 97%, эластан 3%;250;1378505;блуза;1378505(1),1378505(2),1378505(3)
Жилет;1378506;Состав: лен 100%;250;1378506;блуза;1378506(1),1378506(2)
Джинсы;1378507;Состав: коттон 97%, эластан 3%;250;1378507;джинсы;1378507(1),1378507(2),1378507(3),1378507(4)
Сарафан;1378508;Состав: коттон 97%, эластан 3%;250;1378508;сарафан;1378508(1),1378508(2),1378508(3)
Платье;1378509;Состав: вискоза 70%, полиестер 27%, эластан 3%;285;1378509;платье;1378509(1),1378509(2),1378509(3),1378509(4)
Гольф;1378510;Состав: акрил 70%, полиестер 30%;285;1378510;блуза;1378510(1)
Гольф;1378511;Состав: акрил 70%, полиестер 30%;285;1378511;блуза;1378511(1)
Блуза;1378512;Состав: акрил 70%, полиестер 30%;285;1378512;блуза;1378512(1)
Туника;1378513;Состав: вискоза 70%, полиестер 27%, эластан 3%;285;1378513;туника;1378513(1)
Платье с кружевом;1378514;Состав: вискоза 70%, полиестер 27%, эластан 3%;333;1378514;платье;1378514(1),1378514(2),1378514(3)
